year,ActorId,Name,MovieId,Title,genre,Country,gross
2013,1498,Ed Harris,742,Snowpiercer,Drama,Asia,20.75
1996,1498,Ed Harris,353,The Rock,#N/A,America,74.5
1998,1498,Ed Harris,458,The Truman Show,Comedy,Asia,57.25
#N/A,1719,Ed Helms,909,The Hangover,Comedy,#N/A,#N/A
2011,1719,Ed Helms,978,The Hangover Part II,Comedy,America,150.25
2013,1719,Ed Helms,111,The Hangover Part III,Comedy,America,107
2013,1719,Ed Helms,158,We're the Millers,Comedy,America,60.25
2016,1588,Ed O'Neill,457,Finding Dory,Comedy,Other countries,164.75
#N/A,460,Ed Skrein,903,Deadpool,Comedy,#N/A,#N/A
1998,758,Eddie Murphy,575,Mulan,Animation,America,142
2001,758,Eddie Murphy,679,Shrek,Comedy,America,122.25
2004,758,Eddie Murphy,72,Shrek 2,Comedy,Other countries,172.5
2010,758,Eddie Murphy,336,Shrek Forever After,Comedy,America,142.75
2007,758,Eddie Murphy,640,Shrek the Third,Comedy,America,60.25
2016,1243,Eddie Redmayne,153,Fantastic Beasts and Where to Find Them,#N/A,America,92.25
2015,1243,Eddie Redmayne,46,Jupiter Ascending,Sci-Fi,America,101.75
2014,1243,Eddie Redmayne,218,The Theory of Everything,Romance,Other countries,105.5
#N/A,880,Edgar Ramírez,772,The Bourne Ultimatum,#N/A,#N/A,#N/A
2009,1643,Edward Asner,103,Up,Comedy,America,60.75
1998,1617,Edward Burns,555,Saving Private Ryan,Drama,Asia,17.5
1998,792,Edward Furlong,81,American History X,Drama,America,177
1991,792,Edward Furlong,783,Terminator 2: Judgment Day,#N/A,America,114
1982,1757,Edward James Olmos,598,Blade Runner,#N/A,America,179.25
2002,1539,Edward Norton,372,25th Hour,Drama,America,207.5
1998,1539,Edward Norton,81,American History X,Drama,America,177
2014,1539,Edward Norton,87,Birdman or (The Unexpected Virtue of Ignorance),Comedy,America,114
1999,1539,Edward Norton,776,Fight Club,Drama,America,15.25
1996,1539,Edward Norton,786,Primal Fear,Drama,America,103.5
2002,1539,Edward Norton,964,Red Dragon,Drama,America,80.75
2012,1539,Edward Norton,454,The Bourne Legacy,#N/A,America,103.5
2006,1539,Edward Norton,874,The Illusionist,Romance,America,81.25
2008,1539,Edward Norton,962,The Incredible Hulk,#N/A,America,101.25
2003,1539,Edward Norton,174,The Italian Job,#N/A,America,98.5
2004,824,Efren Ramirez,881,Napoleon Dynamite,Comedy,Asia,10.75
2004,1030,Elden Henson,762,The Butterfly Effect,Drama,America,142.75
1965,1469,Eleanor Parker,789,The Sound of Music,Biography,America,116.25
2009,1761,Eli Roth,645,Inglourious Basterds,Drama,America,46.25
1966,397,Eli Wallach,562,"Il buono, il brutto, il cattivo",#N/A,America,40
2014,135,Elijah Smith,469,Boyhood,Drama,America,121
2001,737,Elijah Wood,194,The Lord of the Rings: The Fellowship of the Ring,Drama,America,93
2003,737,Elijah Wood,118,The Lord of the Rings: The Return of the King,Drama,America,133.5
2002,737,Elijah Wood,420,The Lord of the Rings: The Two Towers,Drama,Other countries,183.75
2010,619,Elisabeth Moss,27,Get Him to the Greek,Music,Other countries,177.25
2004,1059,Elisha Cuthbert,925,The Girl Next Door,Romance,America,98.5
2008,1768,Elissa Knight,143,WALL·E,Animation,Other countries,136.75
2008,1489,Elizabeth Banks,477,Role Models,Comedy,Other countries,161
2014,1489,Elizabeth Banks,481,The Lego Movie,Animation,America,69
#N/A,1489,Elizabeth Banks,559,The Next Three Days,Drama,#N/A,#N/A
2008,1489,Elizabeth Banks,474,Zack and Miri Make a Porno,Romance,Asia,57.75
1984,672,Elizabeth Berridge,113,Amadeus,Biography,America,118.5
2008,1227,Elizabeth Berrington,944,In Bruges,Comedy,America,192.5
2015,623,Elizabeth Debicki,608,The Man from U.N.C.L.E.,Comedy,America,20.5
1997,550,Elizabeth Hurley,429,Austin Powers: International Man of Mystery,Comedy,America,68.25
1984,499,Elizabeth McGovern,357,Once Upon a Time in America,Drama,America,42.75
2014,233,Elizabeth Olsen,480,Godzilla 2,#N/A,Other countries,167
1988,581,Elizabeth Perkins,201,Big,Comedy,Other countries,67
2014,1387,Ellar Coltrane,469,Boyhood,Drama,America,121
2014,478,Elle Fanning,434,Maleficent,#N/A,Other countries,31.25
2011,478,Elle Fanning,633,Super 8,#N/A,America,139.25
#N/A,1803,Ellen Burstyn,128,Requiem for a Dream,Drama,#N/A,#N/A
1973,1803,Ellen Burstyn,377,The Exorcist,#N/A,Other countries,145
2006,1803,Ellen Burstyn,390,The Fountain,Drama,America,68.5
2007,712,Ellen Crawford,680,The Man from Earth,Drama,America,76.25
2016,764,Ellen DeGeneres,457,Finding Dory,Comedy,Other countries,164.75
2003,764,Ellen DeGeneres,120,Finding Nemo,Comedy,America,176.25
2010,496,Ellen Page,913,Inception,#N/A,America,101.75
2007,496,Ellen Page,959,Juno,Comedy,America,169.5
1981,1607,Ellen Sandweiss,996,The Evil Dead,#N/A,America,112.25
2015,1406,Eloise Mumford,442,Fifty Shades of Grey,Romance,America,82
1987,1344,Elpidia Carrillo,176,Predator,#N/A,Asia,14.75
#N/A,329,Emile Hirsch,567,Into the Wild,Biography,#N/A,#N/A
2013,329,Emile Hirsch,351,Lone Survivor,Biography,America,69
2004,329,Emile Hirsch,925,The Girl Next Door,Romance,America,98.5
2016,911,Emilia Clarke,785,Me Before You,Romance,Asia,89
2015,911,Emilia Clarke,236,Terminator Genisys,#N/A,Asia,67.5
2002,445,Emilia Fox,898,The Pianist,Music,Asia,43.5
2000,1579,Emilio Echevarría,514,Amores perros,Drama,Other countries,41
1985,96,Emilio Estevez,770,The Breakfast Club,Comedy,America,38.75
2014,1583,Emily Blunt,378,Edge of Tomorrow,#N/A,America,101
2012,1583,Emily Blunt,751,Looper,Drama,America,30.75
2015,1583,Emily Blunt,952,Sicario,Drama,America,133.5
2011,1583,Emily Blunt,232,The Adjustment Bureau,Romance,America,135
2006,1583,Emily Blunt,425,The Devil Wears Prada,Comedy,America,61.5
2011,1235,Emily Browning,869,Sucker Punch,#N/A,America,100.75
2005,1626,Emily Mortimer,317,Match Point,Romance,America,35
2010,1626,Emily Mortimer,394,Shutter Island,#N/A,America,25
2005,1053,Emily Watson,191,Corpse Bride,Drama,America,151.75
2002,1053,Emily Watson,389,Equilibrium,Drama,Other countries,49.5
#N/A,373,Eminem,619,8 Mile,Music,#N/A,#N/A
2013,1783,Emma Roberts,158,We're the Millers,Comedy,America,60.25
2012,1815,Emma Shorey,659,The Woman in Black,Drama,America,166
2011,1163,Emma Stone,483,"Crazy, Stupid, Love.",Romance,America,27.75
2010,1163,Emma Stone,1000,Easy A,Romance,America,134.25
2013,1163,Emma Stone,71,Gangster Squad,Drama,America,33
2016,1163,Emma Stone,295,La La Land,Music,America,146.5
2012,1163,Emma Stone,9,The Amazing Spider-Man,Sci-Fi,Asia,21.25
2014,1163,Emma Stone,246,The Amazing Spider-Man 2,#N/A,Europe,8.5
2013,1163,Emma Stone,244,The Croods,Animation,America,85
2011,1163,Emma Stone,229,The Help,Drama,America,84.5
2009,1163,Emma Stone,171,Zombieland,Comedy,America,85.75
#N/A,1517,Emma Thompson,51,Brave,Comedy,#N/A,#N/A
#N/A,1517,Emma Thompson,719,Stranger Than Fiction,Comedy,#N/A,#N/A
2002,1208,Emma Watson,363,Harry Potter and the Chamber of Secrets,#N/A,America,112
2010,1208,Emma Watson,98,Harry Potter and the Deathly Hallows: Part 1,#N/A,America,135
#N/A,1208,Emma Watson,222,Harry Potter and the Deathly Hallows: Part 2,Drama,#N/A,#N/A
2005,1208,Emma Watson,490,Harry Potter and the Goblet of Fire,#N/A,Other countries,156
#N/A,1208,Emma Watson,180,Harry Potter and the Half-Blood Prince,#N/A,#N/A,#N/A
2007,1208,Emma Watson,65,Harry Potter and the Order of the Phoenix,#N/A,Other countries,82.25
2004,1208,Emma Watson,937,Harry Potter and the Prisoner of Azkaban,#N/A,America,27.5
2014,1208,Emma Watson,599,Noah,Drama,America,25
2012,1208,Emma Watson,471,The Perks of Being a Wallflower,Drama,Asia,73
1996,136,Emmanuelle Béart,692,Mission: Impossible,#N/A,Asia,14.25
2008,1669,Emmanuelle Chriqui,955,You Don't Mess with the Zohan,Comedy,Other countries,97.25
2005,71,Emmanuelle Vaugier,152,Saw II,#N/A,America,136
2003,1202,Emmy Rossum,364,Mystic River,Drama,Asia,16
2004,1202,Emmy Rossum,126,The Day After Tomorrow,Sci-Fi,America,102.5
1988,891,Enzo Cannavale,860,Nuovo Cinema Paradiso,Drama,America,124.25
#N/A,745,Eric Bana,468,Black Hawk Down,Drama,#N/A,#N/A
2011,745,Eric Bana,293,Hanna,Drama,Europe,7.75
2003,745,Eric Bana,292,Hulk,#N/A,America,104.5
2005,745,Eric Bana,639,Munich,Drama,Other countries,29.5
2004,745,Eric Bana,994,Troy,Drama,Other countries,136.5
1975,457,Eric Idle,485,Monty Python and the Holy Grail,Comedy,America,127
2016,4,Eric Stonestreet,286,The Secret Life of Pets,Comedy,America,144
2005,196,Eric Sykes,490,Harry Potter and the Goblet of Fire,#N/A,Other countries,156
2009,1487,Eric Winter,695,The Ugly Truth,Romance,Other countries,133.75
#N/A,1244,Erich von Stroheim,760,Sunset Blvd.,Film-Noir,#N/A,#N/A
2014,948,Essie Davis,900,The Babadook,Drama,America,69.25
2004,1336,Ethan Embry,306,Harold & Kumar Go to White Castle,Comedy,Asia,70
1995,268,Ethan Hawke,825,Before Sunrise,Romance,America,57.25
2004,268,Ethan Hawke,106,Before Sunset,Romance,America,99.5
2014,268,Ethan Hawke,469,Boyhood,Drama,America,121
1989,268,Ethan Hawke,520,Dead Poets Society,Comedy,America,141
1997,268,Ethan Hawke,132,Gattaca,Drama,America,154.5
2005,268,Ethan Hawke,600,Lord of War,Drama,America,89.5
2014,268,Ethan Hawke,140,Predestination,Drama,America,13.25
2012,268,Ethan Hawke,200,Sinister,#N/A,Other countries,162.75
2016,268,Ethan Hawke,726,The Magnificent Seven,#N/A,America,60.75
2013,268,Ethan Hawke,30,The Purge,#N/A,America,37.5
2001,268,Ethan Hawke,985,Training Day,Drama,America,77
#N/A,1024,Ethan Suplee,410,Unstoppable,#N/A,#N/A,#N/A
2003,1028,Eugene Levy,327,American Wedding,Comedy,America,28.75
2009,748,Eunice Cho,37,Ice Age: Dawn of the Dinosaurs,Animation,America,84.5
2014,564,Eva Green,64,300: Rise of an Empire,#N/A,America,127.5
2006,564,Eva Green,859,Casino Royale,#N/A,America,97.5
2012,564,Eva Green,33,Dark Shadows,Comedy,America,144.75
2005,564,Eva Green,917,Kingdom of Heaven,Drama,Other countries,8.75
1959,258,Eva Marie Saint,245,North by Northwest,#N/A,America,63.75
2003,539,Eva Mendes,173,2 Fast 2 Furious,#N/A,Other countries,118.25
2007,539,Eva Mendes,25,Ghost Rider,#N/A,America,15.5
2005,539,Eva Mendes,949,Hitch,Romance,America,125.75
2010,539,Eva Mendes,381,The Other Guys,Comedy,Asia,8.75
2012,539,Eva Mendes,421,The Place Beyond the Pines,Drama,America,124.75
2008,1712,Evan Rachel Wood,891,The Wrestler,Sport,Europe,27.5
2015,701,Evangeline Lilly,303,Ant-Man,Comedy,America,69
2011,701,Evangeline Lilly,596,Real Steel,Drama,America,20.25
2009,412,Ewa Fröling,403,Män som hatar kvinnor,Drama,Other countries,102.5
2009,253,Ewan McGregor,532,Angels & Demons,#N/A,America,37.25
2003,253,Ewan McGregor,594,Big Fish,Drama,America,54.5
#N/A,253,Ewan McGregor,468,Black Hawk Down,Drama,#N/A,#N/A
2012,253,Ewan McGregor,526,Lo imposible,Drama,America,94.5
2001,253,Ewan McGregor,623,Moulin Rouge!,Romance,America,119.75
1999,253,Ewan McGregor,57,Star Wars: Episode I - The Phantom Menace,#N/A,America,95.75
2002,253,Ewan McGregor,989,Star Wars: Episode II - Attack of the Clones,#N/A,America,70.75
2005,253,Ewan McGregor,768,Star Wars: Episode III - Revenge of the Sith,#N/A,America,145.75
2005,253,Ewan McGregor,669,The Island,#N/A,Asia,8.75
1996,253,Ewan McGregor,75,Trainspotting,Drama,America,181
2004,1264,Ewen Bremner,642,AVP: Alien vs. Predator,#N/A,America,91.25
1996,1264,Ewen Bremner,75,Trainspotting,Drama,America,181
2012,441,Ezra Miller,471,The Perks of Being a Wallflower,Drama,Asia,73
1984,715,F. Murray Abraham,113,Amadeus,Biography,America,118.5
2014,715,F. Murray Abraham,487,The Grand Budapest Hotel,Comedy,America,69
2010,2,Faith Wladyka,957,Blue Valentine,Romance,Other countries,125
1995,1729,Famke Janssen,260,GoldenEye,#N/A,Other countries,115
2013,1729,Famke Janssen,769,Hansel & Gretel: Witch Hunters,#N/A,Asia,92.25
2008,1729,Famke Janssen,805,Taken,#N/A,America,97.5
2012,1729,Famke Janssen,430,Taken 2,#N/A,America,98.75
2014,1729,Famke Janssen,73,Taken 3,#N/A,America,149
2000,1729,Famke Janssen,763,X-Men,#N/A,America,187.5
2006,1729,Famke Janssen,257,X-Men: The Last Stand,#N/A,Other countries,38.5
1974,651,Faye Dunaway,740,Chinatown,Drama,Asia,5.5
2016,958,Felicity Jones,459,Rogue One,#N/A,America,87.5
2014,958,Felicity Jones,218,The Theory of Everything,Romance,Other countries,105.5
2001,1123,Fionnula Flanagan,399,The Others,#N/A,America,60
2011,1067,Florence Kastriner,232,The Adjustment Bureau,Romance,America,135
2016,662,Forest Whitaker,665,Arrival,Drama,America,93
2002,662,Forest Whitaker,328,Panic Room,Drama,America,61.25
2002,662,Forest Whitaker,53,Phone Booth,#N/A,Other countries,141.75
#N/A,662,Forest Whitaker,943,Southpaw,Sport,#N/A,#N/A
2014,662,Forest Whitaker,73,Taken 3,#N/A,America,149
2006,662,Forest Whitaker,979,The Last King of Scotland,Biography,Africa,8.5
2011,1742,Fran Kranz,550,The Cabin in the Woods,Comedy,America,134.75
1996,1554,Frances Bay,568,Happy Gilmore,Comedy,Asia,29.75
2000,1636,Frances McDormand,488,Almost Famous,Comedy,Other countries,139.75
2008,1636,Frances McDormand,858,Burn After Reading,Comedy,America,84.5
1996,1636,Frances McDormand,543,Fargo,Drama,Asia,24.75
2001,1073,Frances O'Connor,916,Artificial Intelligence: AI,Drama,America,85.5
2016,1073,Frances O'Connor,319,The Conjuring 2,Drama,America,102.25
1990,806,Frances Sternhagen,832,Misery,Drama,America,80
2006,884,Francesc Albiol,78,Perfume: The Story of a Murderer,Drama,Other countries,251.25
2002,50,François Berléand,907,The Transporter,#N/A,America,177.5
#N/A,1222,François Cluzet,175,Intouchables,Comedy,#N/A,#N/A
1977,1734,François Truffaut,658,Close Encounters of the Third Kind,Drama,America,130
2002,380,Frank Finlay,898,The Pianist,Music,Asia,43.5
2011,1547,Frank Grillo,150,The Grey,Drama,America,157.25
1939,791,Frank Morgan,546,The Wizard of Oz,#N/A,America,68
1962,1791,Frank Overton,712,To Kill a Mockingbird,Drama,Other countries,125.5
1980,943,Frank Vincent,853,Raging Bull,Biography,America,60.75
2001,1623,Franka Potente,975,Blow,Biography,Asia,15
#N/A,1623,Franka Potente,519,Lola rennt,Drama,#N/A,#N/A
2002,1623,Franka Potente,710,The Bourne Identity,#N/A,America,51.5
2004,1623,Franka Potente,359,The Bourne Supremacy,#N/A,America,119.25
2005,1320,Franky G,152,Saw II,#N/A,America,136
2012,1063,Fred Dalton Thompson,200,Sinister,#N/A,Other countries,162.75
2008,1133,Fred Willard,143,WALL·E,Animation,Other countries,136.75
2005,1523,Freddie Highmore,95,Charlie and the Chocolate Factory,Comedy,America,129.25
2007,1672,Freddy Rodríguez,638,Planet Terror,Comedy,America,50.75
1979,1282,Frederic Forrest,570,Apocalypse Now,Drama,America,143
2011,1036,Freida Pinto,419,Rise of the Planet of the Apes,Drama,America,73.5
2008,1036,Freida Pinto,401,Slumdog Millionaire,Romance,America,134.5
1995,703,Gabriel Byrne,356,The Usual Suspects,#N/A,America,177.75
1992,876,Gabrielle Anwar,666,Scent of a Woman,Drama,America,79.5
2003,84,Gabrielle Union,924,Bad Boys II,Comedy,Other countries,152
2000,897,Gael García Bernal,514,Amores perros,Drama,Other countries,41
2006,897,Gael García Bernal,41,Babel,Drama,America,88.25
2010,1569,Garrett Hedlund,844,Tron,#N/A,America,62.25
2010,1690,Garrett M. Brown,162,Kick-Ass,Comedy,America,128.5
1987,298,Gary Busey,121,Lethal Weapon,#N/A,America,21
2008,610,Gary Cole,349,Pineapple Express,Comedy,America,22
1968,297,Gary Lockwood,736,2001: A Space Odyssey,#N/A,America,85.75
1997,976,Gary Oldman,813,Air Force One,Drama,America,101.75
2014,976,Gary Oldman,731,Dawn of the Planet of the Apes,Drama,Other countries,52
1992,976,Gary Oldman,94,Dracula,#N/A,America,128.5
2001,976,Gary Oldman,397,Hannibal,Drama,Other countries,82.25
1994,976,Gary Oldman,905,Léon,Drama,America,43
2014,976,Gary Oldman,626,RoboCop 2,#N/A,America,243.25
2010,976,Gary Oldman,79,The Book of Eli,Drama,Asia,45
2012,976,Gary Oldman,779,The Dark Knight Rises,#N/A,America,55.25
1997,976,Gary Oldman,830,The Fifth Element,#N/A,America,102.25
#N/A,976,Gary Oldman,405,Tinker Tailor Soldier Spy,Drama,#N/A,#N/A
1995,1117,Gary Sinise,703,Apollo 13,Drama,America,10.75
1994,1117,Gary Sinise,299,Forrest Gump,Romance,America,125.25
2008,979,Gattlin Griffith,43,Changeling,Biography,Asia,34.25
#N/A,1376,Geena Davis,897,Beetlejuice,Comedy,#N/A,#N/A
2013,205,Gemma Arterton,769,Hansel & Gretel: Witch Hunters,#N/A,Asia,92.25
2010,205,Gemma Arterton,991,Prince of Persia: The Sands of Time,#N/A,America,43
2001,1434,Gemma Jones,634,Bridget Jones's Diary,Romance,Other countries,104.5
2004,1177,Gena Rowlands,139,The Notebook,Romance,America,118.5
1998,1272,Gene Hackman,275,Enemy of the State,#N/A,America,61.5
2001,1272,Gene Hackman,873,The Royal Tenenbaums,Comedy,America,43.5
#N/A,1272,Gene Hackman,18,Unforgiven,Drama,#N/A,#N/A
1952,907,Gene Kelly,579,Singin' in the Rain,Romance,America,30.5
1971,1371,Gene Wilder,984,Willy Wonka & the Chocolate Factory,#N/A,America,211.75
#N/A,1686,Geoffrey Arend,894,(500) Days of Summer,Romance,#N/A,#N/A
2007,1216,Geoffrey Rush,691,Pirates of the Caribbean: At World's End,#N/A,America,112.5
2011,1216,Geoffrey Rush,409,Pirates of the Caribbean: On Stranger Tides,#N/A,America,105.25
2003,1216,Geoffrey Rush,756,Pirates of the Caribbean: The Curse of the Black Pearl,#N/A,America,56.5
1998,1216,Geoffrey Rush,186,Shakespeare in Love,Comedy,America,68
2010,1216,Geoffrey Rush,527,The King's Speech,Biography,America,22
1964,395,George C. Scott,407,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,Comedy,America,59.25
1997,1054,George Clooney,749,Batman & Robin,#N/A,Asia,89.75
2008,1054,George Clooney,858,Burn After Reading,Comedy,America,84.5
2009,1054,George Clooney,240,Fantastic Mr. Fox,Comedy,America,54.5
1996,1054,George Clooney,826,From Dusk Till Dawn,#N/A,America,114.25
2013,1054,George Clooney,646,Gravity,Drama,America,38.75
2000,1054,George Clooney,922,"O Brother, Where Art Thou?",Comedy,Asia,53.75
#N/A,1054,George Clooney,68,Ocean's Eleven,#N/A,#N/A,#N/A
2007,1054,George Clooney,976,Ocean's Thirteen,#N/A,Asia,49
#N/A,1054,George Clooney,373,Ocean's Twelve,#N/A,#N/A,#N/A
2011,1054,George Clooney,863,The Descendants,Comedy,Asia,11.5
#N/A,1054,George Clooney,938,The Ides of March,Drama,#N/A,#N/A
2015,1054,George Clooney,563,Tomorrowland,#N/A,America,20.75
2009,1054,George Clooney,269,Up in the Air,Romance,America,79
#N/A,1561,George Lopez,890,Rio,Comedy,#N/A,#N/A
1959,889,George Raft,225,Some Like It Hot,Romance,Other countries,150.75
2008,343,Georgie Henley,354,The Chronicles of Narnia: Prince Caspian,#N/A,America,63
#N/A,343,Georgie Henley,896,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",#N/A,#N/A,#N/A
1988,1310,Gerald R. Molen,755,Rain Man,Drama,America,33.5
#N/A,954,Gerard Butler,728,300,#N/A,#N/A,#N/A
2010,954,Gerard Butler,91,How to Train Your Dragon,Animation,Asia,15.25
2014,954,Gerard Butler,252,How to Train Your Dragon 2,Animation,America,86.25
2009,954,Gerard Butler,137,Law Abiding Citizen,Drama,Other countries,82
2013,954,Gerard Butler,207,Olympus Has Fallen,#N/A,Asia,34
2007,954,Gerard Butler,388,P.S. I Love You,Romance,America,120.5
2008,954,Gerard Butler,683,RocknRolla,#N/A,Asia,102.75
2009,954,Gerard Butler,695,The Ugly Truth,Romance,Other countries,133.75
2006,767,Gerardo Taracena,512,Apocalypto,Drama,America,98.75
2008,1153,Gerry Bednob,474,Zack and Miri Make a Porno,Romance,Asia,57.75
2004,1485,Gerry Robert Byrne,895,Eternal Sunshine of the Spotless Mind,Romance,Other countries,84.5
1965,632,Gian Maria Volontè,311,Per qualche dollaro in più,#N/A,America,68
1964,632,Gian Maria Volontè,297,Per un pugno di dollari,#N/A,Other countries,60
2015,32,Giancarlo Esposito,264,Maze Runner: The Scorch Trials,#N/A,America,112.25
2016,1711,Gil Birmingham,602,Hell or High Water,Drama,America,110.5
2011,1711,Gil Birmingham,515,The Twilight Saga: Breaking Dawn - Part 1,Drama,America,80.75
2006,153,Gillian Anderson,979,The Last King of Scotland,Biography,Africa,8.5
2005,1169,Gina Torres,197,Serenity,#N/A,America,170.75
2005,910,Ginnifer Goodwin,142,Walk the Line,Music,Other countries,169.25
2016,910,Ginnifer Goodwin,613,Zootopia,Comedy,America,20.75
1997,1522,Giorgio Cantarini,618,La vita è bella,Romance,America,65
2013,830,Giovanni Ribisi,71,Gangster Squad,Drama,America,33
2000,830,Giovanni Ribisi,624,Gone in Sixty Seconds,#N/A,America,130.25
#N/A,830,Giovanni Ribisi,276,Lost in Translation,Drama,#N/A,#N/A
1997,1339,Giustino Durano,618,La vita è bella,Romance,America,65
1997,1536,Glenn Close,813,Air Force One,Drama,America,101.75
1999,1536,Glenn Close,499,Tarzan,Animation,Other countries,147
#N/A,357,Gloria Swanson,760,Sunset Blvd.,Film-Noir,#N/A,#N/A
2008,620,Golshifteh Farahani,980,Body of Lies,Drama,America,149
2002,872,Goran Visnjic,629,Ice Age,Comedy,Other countries,140.75
1997,1801,Gore Vidal,132,Gattaca,Drama,America,154.5
2000,1106,Goya Toledo,514,Amores perros,Drama,Other countries,41
#N/A,1479,Grace Hayle,375,The Great Dictator,Comedy,#N/A,#N/A
1954,1019,Grace Kelly,156,Rear Window,#N/A,America,84
1979,1102,Graham Chapman,355,Life of Brian,Comedy,America,124.25
1975,1102,Graham Chapman,485,Monty Python and the Holy Grail,Comedy,America,127
1990,871,Graham Greene,990,Dances with Wolves,Drama,America,107.25
1995,871,Graham Greene,522,Die Hard: With a Vengeance,#N/A,Asia,14.75
2008,1829,Graham McTavish,167,Rambo,#N/A,America,131.5
#N/A,606,Greg Kinnear,101,As Good as It Gets,Romance,#N/A,#N/A
2006,606,Greg Kinnear,764,Little Miss Sunshine,Comedy,America,93.75
1998,606,Greg Kinnear,16,You've Got Mail,Romance,America,110
1962,693,Gregory Peck,712,To Kill a Mockingbird,Drama,Other countries,125.5
2013,902,Guy Pearce,226,Iron Man Three,#N/A,America,68.75
1997,902,Guy Pearce,981,L.A. Confidential,Drama,America,140.5
2012,902,Guy Pearce,581,Lawless,Drama,Other countries,48.75
2000,902,Guy Pearce,479,Memento,#N/A,Other countries,111.75
2008,902,Guy Pearce,204,The Hurt Locker,Drama,Other countries,119.5
2011,28,Gwyneth Paltrow,492,Contagion,Drama,America,189
2008,28,Gwyneth Paltrow,172,Iron Man,#N/A,America,69.25
2010,28,Gwyneth Paltrow,249,Iron Man 2,#N/A,America,137
2013,28,Gwyneth Paltrow,226,Iron Man Three,#N/A,America,68.75
1998,28,Gwyneth Paltrow,186,Shakespeare in Love,Comedy,America,68
2001,28,Gwyneth Paltrow,873,The Royal Tenenbaums,Comedy,America,43.5
1999,28,Gwyneth Paltrow,125,The Talented Mr. Ripley,Drama,America,65.75
2013,838,Hailee Steinfeld,418,Ender's Game,#N/A,Other countries,113.5
2010,838,Hailee Steinfeld,995,True Grit,Drama,Other countries,143.75
2001,1793,Haley Joel Osment,916,Artificial Intelligence: AI,Drama,America,85.5
1999,1793,Haley Joel Osment,920,The Sixth Sense,Drama,Other countries,107.25
2016,780,Haley Lu Richardson,848,Split,#N/A,America,214.25
2012,1068,Halle Berry,362,Cloud Atlas,Drama,America,93.5
2002,1068,Halle Berry,837,Die Another Day,#N/A,America,90.5
2001,1068,Halle Berry,443,Swordfish,#N/A,Asia,24.75
2003,1068,Halle Berry,424,X2,#N/A,America,35.75
2006,1068,Halle Berry,257,X-Men: The Last Stand,#N/A,Other countries,38.5
1998,1756,Hank Azaria,415,Godzilla,#N/A,America,37.25
2009,1756,Hank Azaria,271,Night at the Museum: Battle of the Smithsonian,Comedy,America,159
1936,160,Hank Mann,89,Modern Times,Comedy,Other countries,82.5
1995,1598,Hanno Pöschl,825,Before Sunrise,Romance,America,57.25
2014,1288,Hans Matheson,64,300: Rise of an Empire,#N/A,America,127.5
2007,1451,Harold Perrineau,168,28 Weeks Later,Drama,America,103.75
1996,1451,Harold Perrineau,500,Romeo + Juliet,Romance,Asia,61.5
#N/A,1299,Harold Ramis,672,Ghost Busters,Comedy,#N/A,#N/A
#N/A,1299,Harold Ramis,42,Ghostbusters II,Comedy,#N/A,#N/A
1997,957,Harrison Ford,813,Air Force One,Drama,America,101.75
1982,957,Harrison Ford,598,Blade Runner,#N/A,America,179.25
2011,957,Harrison Ford,54,Cowboys & Aliens,Sci-Fi,America,50
2013,957,Harrison Ford,418,Ender's Game,#N/A,Other countries,113.5
2008,957,Harrison Ford,105,Indiana Jones and the Kingdom of the Crystal Skull,#N/A,America,37
#N/A,957,Harrison Ford,138,Indiana Jones and the Last Crusade,#N/A,#N/A,#N/A
1984,957,Harrison Ford,482,Indiana Jones and the Temple of Doom,#N/A,Asia,16.75
1981,957,Harrison Ford,700,Raiders of the Lost Ark,#N/A,America,19
#N/A,957,Harrison Ford,836,Star Wars,#N/A,#N/A,#N/A
1980,957,Harrison Ford,464,Star Wars: Episode V - The Empire Strikes Back,#N/A,America,87
1983,957,Harrison Ford,565,Star Wars: Episode VI - Return of the Jedi,#N/A,America,93.5
1993,957,Harrison Ford,376,The Fugitive,Drama,America,83.25
2007,1430,Harry Connick Jr.,388,P.S. I Love You,Romance,America,120.5
1937,992,Harry Stockwell,332,Snow White and the Seven Dwarfs,Animation,America,111.5
1993,568,Harvey Fierstein,288,Mrs. Doubtfire,Comedy,America,89.75
1996,200,Harvey Keitel,826,From Dusk Till Dawn,#N/A,America,114.25
2002,200,Harvey Keitel,964,Red Dragon,Drama,America,80.75
1992,200,Harvey Keitel,124,Reservoir Dogs,Drama,America,15.75
#N/A,694,Haya Harareet,456,Ben-Hur,Drama,#N/A,#N/A
2008,1145,Hayden Christensen,706,Jumper,#N/A,Other countries,34.5
2002,1145,Hayden Christensen,989,Star Wars: Episode II - Attack of the Clones,#N/A,America,70.75
2005,1145,Hayden Christensen,768,Star Wars: Episode III - Revenge of the Sith,#N/A,America,145.75
1998,769,Hayden Panettiere,807,A Bug's Life,Comedy,America,118.5
#N/A,296,Hayley Atwell,866,Captain America: The First Avenger,#N/A,#N/A,#N/A
2014,1289,Hayley McElhinney,900,The Babadook,Drama,America,69.25
1999,595,Heath Ledger,529,10 Things I Hate About You,Romance,Europe,9.25
2005,595,Heath Ledger,341,Brokeback Mountain,Romance,America,97.75
2008,595,Heath Ledger,498,The Dark Knight,Drama,America,24.25
